method,run_label,bin_id,n,mean_score,corrected_error_rate,corrected_accuracy,baseline_accuracy,intervened_rate,fallback_rate,delta_accuracy_pp,abs_calibration_gap,bin_left,bin_right,bin_label
E1,seed42,5,32,0.520625,0.1875,0.8125,0.625,1.0,0.0,18.75,0.333125,0.5,0.6,"[0.5, 0.6)"
E1,seed42,6,2,0.61,0.0,1.0,0.0,1.0,0.0,100.0,0.61,0.6,0.7,"[0.6, 0.7)"
E1,seed456,0,404,0.0523820132013201,0.14603960396039603,0.8539603960396039,0.6410891089108911,1.0,0.0,21.287128712871283,0.09365759075907593,0.0,0.1,"[0.0, 0.1)"
E1,seed456,1,529,0.15905842110000898,0.22306238185255198,0.776937618147448,0.6408317580340265,1.0,0.0,13.610586011342152,0.064003960752543,0.1,0.2,"[0.1, 0.2)"
E1,seed456,2,679,0.24750143768847743,0.22385861561119294,0.7761413843888071,0.6435935198821797,1.0,0.0,13.254786450662737,0.023642822077284492,0.2,0.3,"[0.2, 0.3)"
E1,seed456,3,275,0.34507324675324674,0.2,0.8,0.6,1.0,0.0,20.000000000000007,0.14507324675324673,0.3,0.4,"[0.3, 0.4)"
E1,seed456,4,79,0.4320759493670886,0.189873417721519,0.810126582278481,0.6455696202531646,1.0,0.0,16.455696202531644,0.2422025316455696,0.4,0.5,"[0.4, 0.5)"
E1,seed456,5,32,0.520625,0.1875,0.8125,0.625,1.0,0.0,18.75,0.333125,0.5,0.6,"[0.5, 0.6)"
E1,seed456,6,2,0.61,0.0,1.0,0.0,1.0,0.0,100.0,0.61,0.6,0.7,"[0.6, 0.7)"
E12b,seed123,0,404,0.0523820132013201,0.3589108910891089,0.6410891089108911,0.6410891089108911,0.0,0.0,0.0,0.3065288778877888,0.0,0.1,"[0.0, 0.1)"
E12b,seed123,1,529,0.15905842110000898,0.3610586011342155,0.6389413988657845,0.6408317580340265,0.28166351606805295,0.003780718336483932,-0.1890359168241984,0.20200018003420653,0.1,0.2,"[0.1, 0.2)"
E12b,seed123,2,679,0.24750143768847743,0.2974963181148748,0.7025036818851251,0.6435935198821797,1.0,0.0014727540500736377,5.8910162002945405,0.04999488042639738,0.2,0.3,"[0.2, 0.3)"
E12b,seed123,3,275,0.34507324675324674,0.36363636363636365,0.6363636363636364,0.6,1.0,0.0036363636363636364,3.6363636363636376,0.018563116883116904,0.3,0.4,"[0.3, 0.4)"
E12b,seed123,4,79,0.4320759493670886,0.34177215189873417,0.6582278481012658,0.6455696202531646,1.0,0.0,1.2658227848101222,0.09030379746835443,0.4,0.5,"[0.4, 0.5)"
E12b,seed123,5,32,0.520625,0.34375,0.65625,0.625,1.0,0.0,3.125,0.176875,0.5,0.6,"[0.5, 0.6)"
E12b,seed123,6,2,0.61,1.0,0.0,0.0,1.0,0.0,0.0,0.39,0.6,0.7,"[0.6, 0.7)"
E12b,seed42,0,386,0.047983592400690805,0.36528497409326427,0.6347150259067358,0.6347150259067358,0.0,0.0,0.0,0.3173013816925735,0.0,0.1,"[0.0, 0.1)"
E12b,seed42,1,547,0.15653817358753372,0.34552102376599636,0.6544789762340036,0.6526508226691042,0.2376599634369287,0.0018281535648994515,0.1828153564899404,0.18898285017846264,0.1,0.2,"[0.1, 0.2)"
E12b,seed42,2,682,0.24559789135595583,0.2991202346041056,0.7008797653958945,0.6231671554252199,1.0,0.001466275659824047,7.771260997067452,0.05352234324814975,0.2,0.3,"[0.2, 0.3)"
E12b,seed42,3,271,0.3456615709014233,0.36531365313653136,0.6346863468634686,0.5940959409594095,1.0,0.0,4.059040590405905,0.01965208223510806,0.3,0.4,"[0.3, 0.4)"
E12b,seed42,4,87,0.4308735632183909,0.3563218390804598,0.6436781609195402,0.6091954022988506,1.0,0.0,3.4482758620689613,0.0745517241379311,0.4,0.5,"[0.4, 0.5)"
E12b,seed42,5,25,0.5209066666666667,0.28,0.72,0.68,1.0,0.0,3.9999999999999925,0.2409066666666667,0.5,0.6,"[0.5, 0.6)"
E12b,seed42,6,2,0.61,1.0,0.0,0.0,1.0,0.0,0.0,0.39,0.6,0.7,"[0.6, 0.7)"
E12b,seed456,0,404,0.0523820132013201,0.3589108910891089,0.6410891089108911,0.6410891089108911,0.0,0.0,0.0,0.3065288778877888,0.0,0.1,"[0.0, 0.1)"
E12b,seed456,1,529,0.15905842110000898,0.3610586011342155,0.6389413988657845,0.6408317580340265,0.28166351606805295,0.003780718336483932,-0.1890359168241984,0.20200018003420653,0.1,0.2,"[0.1, 0.2)"
E12b,seed456,2,679,0.24750143768847743,0.2974963181148748,0.7025036818851251,0.6435935198821797,1.0,0.0014727540500736377,5.8910162002945405,0.04999488042639738,0.2,0.3,"[0.2, 0.3)"
E12b,seed456,3,275,0.34507324675324674,0.36363636363636365,0.6363636363636364,0.6,1.0,0.0036363636363636364,3.6363636363636376,0.018563116883116904,0.3,0.4,"[0.3, 0.4)"
E12b,seed456,4,79,0.4320759493670886,0.34177215189873417,0.6582278481012658,0.6455696202531646,1.0,0.0,1.2658227848101222,0.09030379746835443,0.4,0.5,"[0.4, 0.5)"
E12b,seed456,5,32,0.520625,0.34375,0.65625,0.625,1.0,0.0,3.125,0.176875,0.5,0.6,"[0.5, 0.6)"
E12b,seed456,6,2,0.61,1.0,0.0,0.0,1.0,0.0,0.0,0.39,0.6,0.7,"[0.6, 0.7)"
