method,run_label,threshold,n_total,n_kept,coverage,corrected_accuracy_kept,corrected_error_kept,baseline_accuracy_kept,delta_accuracy_pp_kept,intervened_rate_kept
E12b,seed123,0.15000000000000002,2000,777,0.3885,0.6537966537966537,0.34620334620334625,0.6537966537966537,0.0,0.0
E12b,seed123,0.17500000000000002,2000,784,0.392,0.6505102040816326,0.3494897959183674,0.6505102040816326,0.0,0.0
E12b,seed123,0.2,2000,933,0.4665,0.639871382636656,0.360128617363344,0.6409431939978564,-0.1071811361200381,0.15969989281886388
E12b,seed123,0.225,2000,1221,0.6105,0.6707616707616708,0.3292383292383292,0.6461916461916462,2.4570024570024662,0.3579033579033579
E12b,seed123,0.25,2000,1255,0.6275,0.6685258964143427,0.3314741035856573,0.6438247011952192,2.4701195219123506,0.3752988047808765
E12b,seed123,0.275,2000,1424,0.712,0.6566011235955056,0.3433988764044944,0.6411516853932584,1.54494382022472,0.449438202247191
E12b,seed123,0.30000000000000004,2000,1612,0.806,0.6662531017369727,0.3337468982630273,0.642059553349876,2.4193548387096753,0.5136476426799007
E12b,seed123,0.325,2000,1669,0.8345,0.6680647094068305,0.3319352905931695,0.6411024565608149,2.696225284601561,0.530257639304973
E12b,seed123,0.35000000000000003,2000,1831,0.9155,0.6657564172583288,0.3342435827416712,0.6384489350081922,2.730748225013657,0.571818678317859
E12b,seed123,0.375,2000,1837,0.9185,0.6652150244964616,0.33478497550353836,0.6385410996189439,2.667392487751774,0.5732172019597169
E12b,seed123,0.4,2000,1887,0.9435,0.661897191308956,0.33810280869104403,0.6359300476947536,2.596714361420238,0.584525702172761
E12b,seed123,0.42500000000000004,2000,1914,0.957,0.6619644723092999,0.3380355276907001,0.6363636363636364,2.5600835945663536,0.5903866248693835
E12b,seed123,0.45,2000,1938,0.969,0.6625386996904025,0.33746130030959753,0.6377708978328174,2.4767801857585092,0.5954592363261094
E12b,seed123,0.47500000000000003,2000,1965,0.9825,0.6615776081424937,0.33842239185750633,0.6361323155216285,2.5445292620865145,0.6010178117048346
E12b,seed123,0.5,2000,1966,0.983,0.6617497456765005,0.33825025432349953,0.6363173957273652,2.5432349949135236,0.6012207527975585
E12b,seed123,0.525,2000,1989,0.9945,0.6606334841628959,0.3393665158371041,0.6354952237305178,2.51382604323781,0.6058320764203117
E12b,seed123,0.55,2000,1989,0.9945,0.6606334841628959,0.3393665158371041,0.6354952237305178,2.51382604323781,0.6058320764203117
E12b,seed123,0.5750000000000001,2000,1998,0.999,0.6616616616616616,0.3383383383383384,0.6361361361361362,2.552552552552545,0.6076076076076076
E12b,seed123,0.6000000000000001,2000,1998,0.999,0.6616616616616616,0.3383383383383384,0.6361361361361362,2.552552552552545,0.6076076076076076
E12b,seed123,0.625,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.65,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.675,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.7000000000000001,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.7250000000000001,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.75,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.775,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.8,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
E12b,seed123,0.8250000000000001,2000,2000,1.0,0.661,0.33899999999999997,0.6355,2.550000000000008,0.608
